Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Metapopulation dynamics of rabies and the efficacy of vaccination.,/pubmed/21159675,"Beyer HL, Hampson K, Lembo T, Cleaveland S, Kaare M, Haydon DT.",Proc Biol Sci. 2011 Jul 22;278(1715):2182-90. doi: 10.1098/rspb.2010.2312. Epub 2010 Dec 15.,Proc Biol Sci.  2011,PubMed,citation,PMID:21159675 | PMCID:PMC3107631,pubmed,21159675,create date:2010/12/17 | first author:Beyer HL
"Epidemiologic trends of rabies in domestic animals in southern Thailand, 1994-2008.",/pubmed/21734139,"Thiptara A, Atwill ER, Kongkaew W, Chomel BB.",Am J Trop Med Hyg. 2011 Jul;85(1):138-45. doi: 10.4269/ajtmh.2011.10-0535.,Am J Trop Med Hyg.  2011,PubMed,citation,PMID:21734139 | PMCID:PMC3122358,pubmed,21734139,create date:2011/07/08 | first author:Thiptara A
Phylogeography of rabies virus isolated from dogs in Brazil between 1985 and 2006.,/pubmed/21327782,"Carnieli P Jr, de Novaes Oliveira R, Macedo CI, Castilho JG.",Arch Virol. 2011 Jun;156(6):1007-12. doi: 10.1007/s00705-011-0942-y. Epub 2011 Feb 13.,Arch Virol.  2011,PubMed,citation,PMID:21327782,pubmed,21327782,create date:2011/02/18 | first author:Carnieli P Jr
"Stray dog population health in Jodhpur, India in the wake of an animal birth control (ABC) program.",/pubmed/21144606,"Totton SC, Wandeler AI, Ribble CS, Rosatte RC, McEwen SA.",Prev Vet Med. 2011 Feb 1;98(2-3):215-20. doi: 10.1016/j.prevetmed.2010.11.011. Epub 2010 Dec 8.,Prev Vet Med.  2011,PubMed,citation,PMID:21144606,pubmed,21144606,create date:2010/12/15 | first author:Totton SC
"Role of apoptosis in rabies viral encephalitis: a comparative study in mice, canine, and human brain with a review of literature.",/pubmed/21876844,"Suja MS, Mahadevan A, Madhusudana SN, Shankar SK.",Patholog Res Int. 2011;2011:374286. doi: 10.4061/2011/374286. Epub 2011 Aug 25.,Patholog Res Int.  2011,PubMed,citation,PMID:21876844 | PMCID:PMC3163028,pubmed,21876844,create date:2011/08/31 | first author:Suja MS
Monkeypox disease transmission in an experimental setting: prairie dog animal model.,/pubmed/22164263,"Hutson CL, Carroll DS, Gallardo-Romero N, Weiss S, Clemmons C, Hughes CM, Salzer JS, Olson VA, Abel J, Karem KL, Damon IK.",PLoS One. 2011;6(12):e28295. doi: 10.1371/journal.pone.0028295. Epub 2011 Dec 2.,PLoS One.  2011,PubMed,citation,PMID:22164263 | PMCID:PMC3229555,pubmed,22164263,create date:2011/12/14 | first author:Hutson CL
Analysis of rabies in China: transmission dynamics and control.,/pubmed/21789166,"Zhang J, Jin Z, Sun GQ, Zhou T, Ruan S.",PLoS One. 2011;6(7):e20891. doi: 10.1371/journal.pone.0020891. Epub 2011 Jul 14.,PLoS One.  2011,PubMed,citation,PMID:21789166 | PMCID:PMC3137549,pubmed,21789166,create date:2011/07/27 | first author:Zhang J
Quantitative risk assessment model of canine rabies introduction: application to the risk to the European Union from Morocco.,/pubmed/20199698,"Napp S, Casas M, Moset S, Paramio JL, Casal J.",Epidemiol Infect. 2010 Nov;138(11):1569-80. doi: 10.1017/S0950268810000415. Epub 2010 Mar 4.,Epidemiol Infect.  2010,PubMed,citation,PMID:20199698,pubmed,20199698,create date:2010/03/05 | first author:Napp S
"Stray dog population demographics in Jodhpur, India following a population control/rabies vaccination program.",/pubmed/20696487,"Totton SC, Wandeler AI, Zinsstag J, Bauch CT, Ribble CS, Rosatte RC, McEwen SA.",Prev Vet Med. 2010 Oct 1;97(1):51-7. doi: 10.1016/j.prevetmed.2010.07.009. Epub 2010 Aug 8.,Prev Vet Med.  2010,PubMed,citation,PMID:20696487,pubmed,20696487,create date:2010/08/11 | first author:Totton SC
"Quantitative risk assessment to compare the risk of rabies entering the UK from Turkey via quarantine, the Pet Travel Scheme and the EU Pet Movement Policy.",/pubmed/20018127,"Ramnial V, Kosmider R, Aylan O, Freuling C, MÃ_ller T, Fooks AR.",Epidemiol Infect. 2010 Aug;138(8):1114-25. doi: 10.1017/S0950268809991221. Epub 2009 Dec 17.,Epidemiol Infect.  2010,PubMed,citation,PMID:20018127,pubmed,20018127,create date:2009/12/19 | first author:Ramnial V
Imported episodic rabies increases patient demand for and physician delivery of antirabies prophylaxis.,/pubmed/20582307,"Lardon Z, Watier L, Brunet A, BernÃ¨de C, Goudal M, Dacheux L, Rotivel Y, Guillemot D, Bourhy H.",PLoS Negl Trop Dis. 2010 Jun 22;4(6):e723. doi: 10.1371/journal.pntd.0000723.,PLoS Negl Trop Dis.  2010,PubMed,citation,PMID:20582307 | PMCID:PMC2889823,pubmed,20582307,create date:2010/06/29 | first author:Lardon Z
Physiologic reference ranges for captive black-tailed prairie dogs (Cynomys ludovicianus).,/pubmed/20587156,"Keckler MS, Gallardo-Romero NF, Langham GL, Damon IK, Karem KL, Carroll DS.",J Am Assoc Lab Anim Sci. 2010 May;49(3):274-81.,J Am Assoc Lab Anim Sci.  2010,PubMed,citation,PMID:20587156 | PMCID:PMC2877297,pubmed,20587156,create date:2010/07/01 | first author:Keckler MS
The feasibility of canine rabies elimination in Africa: dispelling doubts with data.,/pubmed/20186330,"Lembo T, Hampson K, Kaare MT, Ernest E, Knobel D, Kazwala RR, Haydon DT, Cleaveland S.",PLoS Negl Trop Dis. 2010 Feb 23;4(2):e626. doi: 10.1371/journal.pntd.0000626.,PLoS Negl Trop Dis.  2010,PubMed,citation,PMID:20186330 | PMCID:PMC2826407,pubmed,20186330,create date:2010/02/27 | first author:Lembo T
A quantitative risk assessment model to evaluate effective border control measures for rabies prevention.,/pubmed/19822125,"Weng HY, Wu PI, Yang PC, Tsai YL, Chang CC.",Vet Res. 2010 Jan-Feb;41(1):11. doi: 10.1051/vetres/2009059. Epub 2009 Oct 13.,Vet Res.  2010,PubMed,citation,PMID:19822125 | PMCID:PMC2775170,pubmed,19822125,create date:2009/10/14 | first author:Weng HY
Rabies in northeastern Europe--the threat from invasive raccoon dogs.,/pubmed/19901385,"Singer A, Kauhala K, Holmala K, Smith GC.",J Wildl Dis. 2009 Oct;45(4):1121-37.,J Wildl Dis.  2009,PubMed,citation,PMID:19901385,pubmed,19901385,create date:2009/11/11 | first author:Singer A
Rabies situation in Cambodia.,/pubmed/19907631,"Ly S, Buchy P, Heng NY, Ong S, Chhor N, Bourhy H, Vong S.",PLoS Negl Trop Dis. 2009 Sep 8;3(9):e511. doi: 10.1371/journal.pntd.0000511.,PLoS Negl Trop Dis.  2009,PubMed,citation,PMID:19907631 | PMCID:PMC2731168,pubmed,19907631,create date:2009/11/13 | first author:Ly S
Bayesian phylogeography finds its roots.,/pubmed/19779555,"Lemey P, Rambaut A, Drummond AJ, Suchard MA.",PLoS Comput Biol. 2009 Sep;5(9):e1000520. doi: 10.1371/journal.pcbi.1000520. Epub 2009 Sep 25.,PLoS Comput Biol.  2009,PubMed,citation,PMID:19779555 | PMCID:PMC2740835,pubmed,19779555,create date:2009/09/26 | first author:Lemey P
Transmission dynamics and economics of rabies control in dogs and humans in an African city.,/pubmed/19706492,"Zinsstag J, DÃ_rr S, Penny MA, Mindekem R, Roth F, Menendez Gonzalez S, Naissengar S, Hattendorf J.",Proc Natl Acad Sci U S A. 2009 Sep 1;106(35):14996-5001. doi: 10.1073/pnas.0904740106. Epub 2009 Aug 17.,Proc Natl Acad Sci U S A.  2009,PubMed,citation,PMID:19706492 | PMCID:PMC2728111,pubmed,19706492,create date:2009/08/27 | first author:Zinsstag J
Efficacy and safety of a live canine adenovirus-vectored rabies virus vaccine in swine.,/pubmed/18721839,"Liu Y, Zhang S, Ma G, Zhang F, Hu R.",Vaccine. 2008 Oct 3;26(42):5368-72. doi: 10.1016/j.vaccine.2008.08.001. Epub 2008 Aug 20.,Vaccine.  2008,PubMed,citation,PMID:18721839,pubmed,18721839,create date:2008/08/30 | first author:Liu Y
"Regulatory systems for prevention and control of rabies, Japan.",/pubmed/18760002,"Takahashi-Omoe H, Omoe K, Okabe N.",Emerg Infect Dis. 2008 Sep;14(9):1368-74. doi: 10.3201/eid1409.070845.,Emerg Infect Dis.  2008,PubMed,citation,PMID:18760002 | PMCID:PMC2603086,pubmed,18760002,create date:2008/09/02 | first author:Takahashi-Omoe H
Furious and paralytic rabies of canine origin: neuroimaging with virological and cytokine studies.,/pubmed/18444083,"Laothamatas J, Wacharapluesadee S, Lumlertdacha B, Ampawong S, Tepsumethanon V, Shuangshoti S, Phumesin P, Asavaphatiboon S, Worapruekjaru L, Avihingsanon Y, Israsena N, Lafon M, Wilde H, Hemachudha T.",J Neurovirol. 2008 Apr;14(2):119-29. doi: 10.1080/13550280701883857.,J Neurovirol.  2008,PubMed,citation,PMID:18444083,pubmed,18444083,create date:2008/04/30 | first author:Laothamatas J
Antigenic and genetic characterization of the first rabies virus isolated from the bat Eumops perotis in Brazil.,/pubmed/18488088,"Castilho JG, Canello FM, Scheffer KC, Achkar SM, Carrieri ML, Kotait I.",Rev Inst Med Trop Sao Paulo. 2008 Mar-Apr;50(2):95-9.,Rev Inst Med Trop Sao Paulo.  2008,PubMed,citation,PMID:18488088,pubmed,18488088,create date:2008/05/20 | first author:Castilho JG
Inter-laboratory trial to evaluate the reproducibility of a new ELISA to detect rabies antibodies in vaccinated domestic and wild carnivores.,/pubmed/17981476,"Servat A, Labadie A, Hamen A, Boue F, Cliquet F.",Biologicals. 2008 Jan;36(1):19-26. Epub 2007 Nov 5.,Biologicals.  2008,PubMed,citation,PMID:17981476,pubmed,17981476,create date:2007/11/06 | first author:Servat A
Rabies risk in raccoon dogs and foxes.,/pubmed/18634482,"Singer A, Kauhala K, Holmala K, Smith GC.",Dev Biol (Basel). 2008;131:213-22.,Dev Biol (Basel).  2008,PubMed,citation,PMID:18634482,pubmed,18634482,create date:2008/07/19 | first author:Singer A
Generation and evaluation of a recombinant modified vaccinia virus Ankara vaccine for rabies.,/pubmed/17434244,"Weyer J, Rupprecht CE, Mans J, Viljoen GJ, Nel LH.",Vaccine. 2007 May 22;25(21):4213-22. Epub 2007 Mar 22.,Vaccine.  2007,PubMed,citation,PMID:17434244,pubmed,17434244,create date:2007/04/17 | first author:Weyer J
Synchronous cycles of domestic dog rabies in sub-Saharan Africa and the impact of control efforts.,/pubmed/17452645,"Hampson K, Dushoff J, Bingham J, BrÃ_ckner G, Ali YH, Dobson A.",Proc Natl Acad Sci U S A. 2007 May 1;104(18):7717-22. Epub 2007 Apr 23.,Proc Natl Acad Sci U S A.  2007,PubMed,citation,PMID:17452645 | PMCID:PMC1863501,pubmed,17452645,create date:2007/04/25 | first author:Hampson K
[The primordial reservoir in the infectious contagion cicle. The avian influenza model].,/pubmed/17451102,SuÃ¡rez FernÃ¡ndez G.,An R Acad Nac Med (Madr). 2006;123(3):631-45. Review. Spanish. ,An R Acad Nac Med (Madr).  2006,PubMed,citation,PMID:17451102,pubmed,17451102,create date:2007/04/25 | first author:SuÃ¡rez FernÃ¡ndez G
Control and prevention of rabies in animals: paradigm shifts.,/pubmed/16878466,"Rupprecht CE, Hanlon CA, Slate D.",Dev Biol (Basel). 2006;125:103-11. Review.,Dev Biol (Basel).  2006,PubMed,citation,PMID:16878466,pubmed,16878466,create date:2006/08/02 | first author:Rupprecht CE
Screening of upregulated genes in suckling mouse central nervous system during the disease stage of rabies virus infection.,/pubmed/17179662,"Ubol S, Kasisith J, Mitmoonpitak C, Pitidhamabhorn D.",Microbiol Immunol. 2006;50(12):951-9.,Microbiol Immunol.  2006,PubMed,citation,PMID:17179662,pubmed,17179662,create date:2006/12/21 | first author:Ubol S
The epidemiology of animal bite injuries in Uganda and projections of the burden of rabies.,/pubmed/16045466,"FÃ¨vre EM, Kaboyo RW, Persson V, Edelsten M, Coleman PG, Cleaveland S.",Trop Med Int Health. 2005 Aug;10(8):790-8.,Trop Med Int Health.  2005,PubMed,citation,PMID:16045466,pubmed,16045466,create date:2005/07/28 | first author:FÃ¨vre EM
Re-evaluating the burden of rabies in Africa and Asia.,/pubmed/15976877,"Knobel DL, Cleaveland S, Coleman PG, FÃ¨vre EM, Meltzer MI, Miranda ME, Shaw A, Zinsstag J, Meslin FX.",Bull World Health Organ. 2005 May;83(5):360-8. Epub 2005 Jun 24. Review.,Bull World Health Organ.  2005,PubMed,citation,PMID:15976877 | PMCID:PMC2626230,pubmed,15976877,create date:2005/06/25 | first author:Knobel DL
"[Impact of canine demography on rabies transmission in N'djamena, Chad].",/pubmed/15903078,"Mindekem R, Kayali U, Yemadji N, Ndoutamia AG, Zinsstag J.",Med Trop (Mars). 2005;65(1):53-8. French. ,Med Trop (Mars).  2005,PubMed,citation,PMID:15903078,pubmed,15903078,create date:2005/05/21 | first author:Mindekem R
Immunological tools for the assessment of both humoral and cellular immune responses in Foxes (Vulpes vulpes) using ovalbumin and cholera toxin B as an antigenic model.,/pubmed/15474706,"Rolland-Turner M, Farre G, Muller D, Rouet N, Boue F.",Vaccine. 2004 Oct 22;22(31-32):4163-72.,Vaccine.  2004,PubMed,citation,PMID:15474706,pubmed,15474706,create date:2004/10/12 | first author:Rolland-Turner M
Systematically experimental investigation on carcinogenesis or tumorigenicity of VERO cell lines of different karyotypes in nude mice in vivo used for viral vaccine manufacture.,/pubmed/15473315,"Zhang DL, Ji L, Li LJ, Huang GS.",Yi Chuan Xue Bao. 2004 Jul;31(7):647-60.,Yi Chuan Xue Bao.  2004,PubMed,citation,PMID:15473315,pubmed,15473315,create date:2004/10/12 | first author:Zhang DL
"Is the use of animals in biomedical research still necessary in 2002? Unfortunately, ""yes"".",/pubmed/23581167,Festing MF.,Altern Lab Anim. 2004 Jun;32 Suppl 1B:733-9.,Altern Lab Anim.  2004,PubMed,citation,PMID:23581167,pubmed,23581167,create date:2004/06/01 | first author:Festing MF
Efficacy of rabies immunoglobulins in an experimental post-exposure prophylaxis rodent model.,/pubmed/14615152,"Servat A, Lutsch C, Delore V, Lang J, Veitch K, Cliquet F.",Vaccine. 2003 Dec 12;22(2):244-9.,Vaccine.  2003,PubMed,citation,PMID:14615152,pubmed,14615152,create date:2003/11/15 | first author:Servat A
Effects of vaccine route and dosage on protection from rabies after intracerebral challenge in mice.,/pubmed/12693542,"Wunderli PS, Dreesen DW, Miller TJ, Baer GM.",Am J Vet Res. 2003 Apr;64(4):491-8.,Am J Vet Res.  2003,PubMed,citation,PMID:12693542,pubmed,12693542,create date:2003/04/16 | first author:Wunderli PS
"Comparison of vaccination strategies for the control of dog rabies in Machakos District, Kenya.",/pubmed/12211590,"Kitala PM, McDermott JJ, Coleman PG, Dye C.",Epidemiol Infect. 2002 Aug;129(1):215-22.,Epidemiol Infect.  2002,PubMed,citation,PMID:12211590 | PMCID:PMC2869868,pubmed,12211590,create date:2002/09/05 | first author:Kitala PM
"Vaccination against canine distemper virus infection in infant ferrets with and without maternal antibody protection, using recombinant attenuated poxvirus vaccines.",/pubmed/10864646,"Welter J, Taylor J, Tartaglia J, Paoletti E, Stephensen CB.",J Virol. 2000 Jul;74(14):6358-67.,J Virol.  2000,PubMed,citation,PMID:10864646 | PMCID:PMC112142,pubmed,10864646,create date:2000/06/23 | first author:Welter J
"Rabies seroprevalence of street dogs from SÃ£o Paulo City, Brazil.",/pubmed/10760397,"Sallum PC, Almeida MF, Massad E.",Prev Vet Med. 2000 Apr 28;44(3-4):131-9.,Prev Vet Med.  2000,PubMed,citation,PMID:10760397,pubmed,10760397,create date:2000/04/13 | first author:Sallum PC
Public preferences regarding rabies-prevention policies in the UK.,/pubmed/10530425,"Cox M, Barbier EB, White PC, Newton-Cross GA, Kinsella L, Kennedy HJ.",Prev Vet Med. 1999 Aug 23;41(4):257-70.,Prev Vet Med.  1999,PubMed,citation,PMID:10530425,pubmed,10530425,create date:1999/10/26 | first author:Cox M
Rabies in Zimbabwe: reservoir dogs and the implications for disease control.,/pubmed/9684293,"Rhodes CJ, Atkinson RP, Anderson RM, Macdonald DW.",Philos Trans R Soc Lond B Biol Sci. 1998 Jun 29;353(1371):999-1010.,Philos Trans R Soc Lond B Biol Sci.  1998,PubMed,citation,PMID:9684293 | PMCID:PMC1692299,pubmed,9684293,create date:1998/07/31 | first author:Rhodes CJ
Density estimates of rural dog populations and an assessment of marking methods during a rabies vaccination campaign in the Philippines.,/pubmed/9500175,"Childs JE, Robinson LE, Sadek R, Madden A, Miranda ME, Miranda NL.",Prev Vet Med. 1998 Jan;33(1-4):207-18.,Prev Vet Med.  1998,PubMed,citation,PMID:9500175,pubmed,9500175,create date:1998/03/21 | first author:Childs JE
Canine distemper virus (CDV) infection of ferrets as a model for testing Morbillivirus vaccine strategies: NYVAC- and ALVAC-based CDV recombinants protect against symptomatic infection.,/pubmed/8995676,"Stephensen CB, Welter J, Thaker SR, Taylor J, Tartaglia J, Paoletti E.",J Virol. 1997 Feb;71(2):1506-13.,J Virol.  1997,PubMed,citation,PMID:8995676 | PMCID:PMC191207,pubmed,8995676,create date:1997/02/01 | first author:Stephensen CB
Human adenovirus type 5 vectors expressing rabies glycoprotein.,/pubmed/8961515,"Yarosh OK, Wandeler AI, Graham FL, Campbell JB, Prevec L.",Vaccine. 1996 Sep;14(13):1257-64.,Vaccine.  1996,PubMed,citation,PMID:8961515,pubmed,8961515,create date:1996/09/01 | first author:Yarosh OK
Quantification of residual virulence of the Vnukovo-32/107 rabies virus vaccination strain.,/pubmed/7740717,"Svrcek S, Ondrejka R, BenÃ_sek Z, Vrtiak OJ, Selimov MA, ZÃ¡vadovÃ¡ J, Durove A, SÃ_liovÃ¡ J, Mad'ar M.",Vet Med (Praha). 1995 Feb;40(2):53-64.,Vet Med (Praha).  1995,PubMed,citation,PMID:7740717,pubmed,7740717,create date:1995/02/01 | first author:Svrcek S
Modelling of parasitic populations: cestodes.,/pubmed/7846848,Roberts MG.,Vet Parasitol. 1994 Aug;54(1-3):145-60. Review.,Vet Parasitol.  1994,PubMed,citation,PMID:7846848,pubmed,7846848,create date:1994/08/01 | first author:Roberts MG
A prospective evaluation of risk factors for infections from dog-bite wounds.,/pubmed/7621206,"Dire DJ, Hogan DE, Riggs MW.",Acad Emerg Med. 1994 May-Jun;1(3):258-66.,Acad Emerg Med.  1994,PubMed,citation,PMID:7621206,pubmed,7621206,create date:1994/05/01 | first author:Dire DJ
Control of rabies in foxes: what are the appropriate measures?,/pubmed/8135014,Aubert M.,Vet Rec. 1994 Jan 15;134(3):55-9. Review.,Vet Rec.  1994,PubMed,citation,PMID:8135014,pubmed,8135014,create date:1994/01/15 | first author:Aubert M
An epidemic of sylvatic rabies in Finland--descriptive epidemiology and results of oral vaccination.,/pubmed/1598857,"Nyberg M, Kulonen K, Neuvonen E, Ek-Kommonen C, Nuorgam M, Westerling B.",Acta Vet Scand. 1992;33(1):43-57.,Acta Vet Scand.  1992,PubMed,citation,PMID:1598857,pubmed,1598857,create date:1992/01/01 | first author:Nyberg M
Prerequisites for oral immunization of free-ranging raccoons (Procyon lotor) with a recombinant rabies virus vaccine: study site ecology and bait system development.,/pubmed/1548804,"Hable CP, Hamir AN, Snyder DE, Joyner R, French J, Nettles V, Hanlon C, Rupprecht CE.",J Wildl Dis. 1992 Jan;28(1):64-79.,J Wildl Dis.  1992,PubMed,citation,PMID:1548804,pubmed,1548804,create date:1992/01/01 | first author:Hable CP
Domestic animal rabies control: an overview.,/pubmed/3206079,"Beran GW, Frith M.",Rev Infect Dis. 1988 Nov-Dec;10 Suppl 4:S672-7.,Rev Infect Dis.  1988,PubMed,citation,PMID:3206079,pubmed,3206079,create date:1988/11/01 | first author:Beran GW
Induction of antigen-specific antibody response in human peripheral blood lymphocytes in vitro by a dog kidney cell vaccine against rabies virus (DKCV).,/pubmed/6193180,"Uytdehaag FG, Osterhaus AD, Loggen HG, Bakker RH, van Asten JA, Kreeftenberg JG, van der Marel P, van Steenis B.",J Immunol. 1983 Sep;131(3):1234-9.,J Immunol.  1983,PubMed,citation,PMID:6193180,pubmed,6193180,create date:1983/09/01 | first author:Uytdehaag FG
[Determination of anti-rabies antibodies by means of the indirect immunofluorescence method].,/pubmed/810938,"Jiran E, ZÃ¡vora M.",Vet Med (Praha). 1975 Jun;20(7):363-71. Czech. ,Vet Med (Praha).  1975,PubMed,citation,PMID:810938,pubmed,810938,create date:1975/06/01 | first author:Jiran E
Isoprinosine: lack of antiviral activity in experimental model infections.,/pubmed/4340925,"Glasgow LA, Galasso GJ.",J Infect Dis. 1972 Aug;126(2):162-9. No abstract available. ,J Infect Dis.  1972,PubMed,citation,PMID:4340925,pubmed,4340925,create date:1972/08/01 | first author:Glasgow LA
